TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Break and Enter Commercial,2024,3,15,1,20,11XX E GEORGIA ST,Strathcona,494131.3232,5458384.7868
Break and Enter Commercial,2024,3,18,16,0,11XX E KENT AVE S,Sunset,493938.2067,5450640.475
Break and Enter Commercial,2024,3,10,20,0,11XX HORNBY ST,Central Business District,490751.6156,5458494.0611
Break and Enter Commercial,2024,3,4,5,39,11XX HOWE ST,Central Business District,490775.0164,5458366.5794
Break and Enter Commercial,2024,1,10,7,0,11XX PACIFIC ST,West End,490221.3405,5458405.5505
Break and Enter Commercial,2024,2,19,7,21,11XX PENDRELL ST,West End,490439.7327,5458801.3692
Break and Enter Commercial,2024,1,16,15,19,11XX RICHARDS ST,Central Business District,491064.4841,5458243.068
Break and Enter Commercial,2024,3,20,0,40,11XX STATION ST,Strathcona,492835.0141,5457933.8959
Break and Enter Commercial,2024,2,28,10,0,11XX W 73RD AVE,Marpole,490280.8544,5450177.5696
Break and Enter Commercial,2024,2,27,11,29,11XX W GEORGIA ST,West End,490902.7314,5459360.5997
Break and Enter Commercial,2024,2,19,22,30,11XX W GEORGIA ST,Central Business District,490915.2728,5459361.0787
Break and Enter Commercial,2024,3,26,2,44,12XX BARCLAY ST,West End,490568.5327,5459141.9334
Break and Enter Commercial,2024,1,27,22,24,12XX E 7TH AVE,Mount Pleasant,494285.2755,5456838.7178
Break and Enter Commercial,2024,1,17,17,45,12XX GRANVILLE ST,Central Business District,490759.7016,5458204.4134
Break and Enter Commercial,2024,1,10,3,41,12XX GRANVILLE ST,Central Business District,490761.934,5458219.8003
Break and Enter Commercial,2024,1,11,3,45,12XX GRANVILLE ST,Central Business District,490761.934,5458219.8003
Break and Enter Commercial,2024,1,16,17,0,12XX HORNBY ST,Central Business District,490589.2185,5458328.2549
Break and Enter Commercial,2024,1,17,4,52,12XX HORNBY ST,Central Business District,490589.2185,5458328.2549
Break and Enter Commercial,2024,4,8,8,22,12XX HORNBY ST,Central Business District,490589.2185,5458328.2549
Break and Enter Commercial,2024,1,27,0,55,12XX JERVIS ST,West End,490143.994,5458867.7751
Break and Enter Commercial,2024,1,17,15,15,12XX MAIN ST,Central Business District,492717.8494,5457907.8665
Break and Enter Commercial,2024,3,7,2,36,12XX MARINASIDE CRES,Central Business District,491268.6824,5457797.0202
Break and Enter Commercial,2024,2,29,6,19,12XX RICHARDS ST,Central Business District,490851.8218,5458026.6393
Break and Enter Commercial,2024,2,2,4,0,12XX W 6TH AVE,Fairview,490355.222,5457038.59
Break and Enter Commercial,2024,1,12,7,21,12XX W 73RD AVE,Marpole,490276.1627,5450168.3771
Break and Enter Commercial,2024,1,22,8,2,12XX W 73RD AVE,Marpole,490276.1627,5450168.3771
Break and Enter Commercial,2024,3,6,18,0,12XX W 7TH AVE,Fairview,490370.4277,5456946.6671
Break and Enter Commercial,2024,2,26,15,14,12XX W HASTINGS ST,Central Business District,491023.488,5459585.8138
Break and Enter Commercial,2024,3,26,16,15,12XX W HASTINGS ST,Central Business District,491064.3753,5459576.8723
Break and Enter Commercial,2024,2,8,17,30,12XX W PENDER ST,Central Business District,490899.0425,5459585.1576
Break and Enter Commercial,2024,2,9,7,37,12XX W PENDER ST,Central Business District,490899.0425,5459585.1576
Break and Enter Commercial,2024,3,12,10,30,13XX CONTINENTAL ST,Central Business District,490630.0559,5458164.0605
Break and Enter Commercial,2024,1,16,11,35,13XX DAVIE ST,West End,490174.5554,5458923.7446
Break and Enter Commercial,2024,3,8,23,0,13XX E 33RD AVE,Kensington-Cedar Cottage,494423.2344,5454167.084
Break and Enter Commercial,2024,4,9,5,25,13XX E KENT AVE N,Sunset,494282.4885,5450726.1732
Break and Enter Commercial,2024,4,9,8,6,13XX E KENT AVE N,Sunset,494282.4885,5450726.1732
Break and Enter Commercial,2024,4,4,20,42,13XX E PENDER ST,Grandview-Woodland,494407.2244,5458629.7119
Break and Enter Commercial,2024,2,15,19,30,13XX HOWE ST,Central Business District,490566.5114,5458170.386
Break and Enter Commercial,2024,1,15,3,25,13XX KINGSWAY AVE,Kensington-Cedar Cottage,494311.1698,5455398.4791
Break and Enter Commercial,2024,4,3,3,27,13XX RICHARDS ST,Central Business District,490835.981,5457997.8622
Break and Enter Commercial,2024,3,19,4,13,13XX SEYMOUR ST,Central Business District,490698.7462,5457992.8995
Break and Enter Commercial,2024,1,26,5,0,13XX W BROADWAY AVE,Fairview,490213.1361,5456765.4658
Break and Enter Commercial,2024,4,11,4,2,13XX W BROADWAY AVE,Fairview,490213.1361,5456765.4658
Break and Enter Commercial,2024,2,12,3,35,14XX CONTINENTAL ST,Central Business District,490494.7193,5457981.0102
Break and Enter Commercial,2024,3,25,8,0,14XX CONTINENTAL ST,Central Business District,490494.7193,5457981.0102
Break and Enter Commercial,2024,2,19,12,15,14XX E HASTINGS ST,Grandview-Woodland,494592.7539,5458736.0127
Break and Enter Commercial,2024,3,23,5,18,14XX E KING EDWARD AVE,Kensington-Cedar Cottage,494474.8013,5455089.566
Break and Enter Commercial,2024,2,13,8,0,14XX GRANT ST,Grandview-Woodland,494546.8223,5457641.5872
Break and Enter Commercial,2024,1,28,3,37,14XX QUEBEC ST,Central Business District,492586.5863,5457740.9297
Break and Enter Commercial,2024,2,21,14,53,14XX STRATHMORE MEWS,Central Business District,490775.3821,5457825.1561
Break and Enter Commercial,2024,1,5,0,0,14XX W 6TH AVE,Fairview,489955.0133,5457059.8871
Break and Enter Commercial,2024,3,11,0,0,14XX W 6TH AVE,Fairview,489955.0133,5457059.8871
Break and Enter Commercial,2024,3,25,4,50,14XX W PENDER ST,Central Business District,490623.4453,5459709.5029
Break and Enter Commercial,2024,1,4,21,1,15XX CLARK DR,Grandview-Woodland,494378.3972,5457618.945
Break and Enter Commercial,2024,2,28,5,50,15XX DAVIE ST,West End,489981.4416,5459100.5943
Break and Enter Commercial,2024,1,29,17,0,15XX RAND AVE,Marpole,489573.8283,5450370.3316
Break and Enter Commercial,2024,1,30,18,4,15XX RAND AVE,Marpole,489573.8283,5450370.3316
Break and Enter Commercial,2024,1,29,9,23,15XX RAND AVE,Marpole,489593.3081,5450344.115
Break and Enter Commercial,2024,1,25,12,54,15XX W 11TH AVE,Fairview,489823.9693,5456565.0985
Break and Enter Commercial,2024,1,30,1,0,15XX W 11TH AVE,Fairview,489847.4759,5456555.5078
Break and Enter Commercial,2024,2,11,3,49,15XX W 65TH AVE,Marpole,489758.7156,5451066.2188
Break and Enter Commercial,2024,2,28,17,2,16XX E 1ST AVE,Grandview-Woodland,494860.7037,5457421.8849
Break and Enter Commercial,2024,3,15,18,0,16XX E 2ND AVE,Grandview-Woodland,494824.4043,5457334.9144
Break and Enter Commercial,2024,1,15,11,21,16XX E 5TH AVE,Grandview-Woodland,494867.638,5457023.7591
Break and Enter Commercial,2024,2,14,3,33,16XX E BROADWAY AVE,Grandview-Woodland,494785.68,5456626.8853
Break and Enter Commercial,2024,4,3,12,9,16XX HARO ST,West End,490256.8047,5459604.7591
Break and Enter Commercial,2024,1,24,3,19,16XX KINGSWAY AVE,Kensington-Cedar Cottage,494862.4563,5454987.947
Break and Enter Commercial,2024,1,8,2,45,16XX QUEBEC ST,Mount Pleasant,492543.2664,5457594.3932
Break and Enter Commercial,2024,1,31,17,30,16XX RENFREW ST,Hastings-Sunrise,496788.2621,5457456.8337
Break and Enter Commercial,2024,2,1,0,0,16XX W 5TH AVE,Fairview,489628.0797,5457155.6756
Break and Enter Commercial,2024,4,3,17,0,16XX W 7TH AVE,Fairview,489605.8927,5456966.1119
Break and Enter Commercial,2024,2,3,9,25,17XX BEACH AVE,West End,489639.0953,5459330.3813
Break and Enter Commercial,2024,2,6,11,22,17XX COMOX ST,West End,489888.1719,5459515.3215
Break and Enter Commercial,2024,2,25,6,31,17XX DAVIE ST,West End,489717.8553,5459363.1112
Break and Enter Commercial,2024,3,16,18,34,17XX FRANCES ST,Grandview-Woodland,494937.3397,5458510.306
Break and Enter Commercial,2024,3,8,9,30,17XX HARO ST,West End,490128.2688,5459741.8649
Break and Enter Commercial,2024,1,24,4,41,17XX PANDORA ST,Grandview-Woodland,494969.5596,5458922.2248
Break and Enter Commercial,2024,3,3,5,30,17XX PENDRELL ST,West End,489773.9224,5459472.5414
Break and Enter Commercial,2024,2,11,12,0,17XX VICTORIA DR,Grandview-Woodland,495210.6233,5457401.2129
Break and Enter Commercial,2024,3,7,23,15,17XX VICTORIA DR,Grandview-Woodland,495210.6233,5457401.2129
Break and Enter Commercial,2024,3,29,14,54,17XX W 75TH AVE,Marpole,489161.8964,5450506.1252
Break and Enter Commercial,2024,3,13,4,41,18XX COMOX ST,West End,489780.0567,5459611.1248
Break and Enter Commercial,2024,3,17,0,0,18XX E 11TH AVE,Kensington-Cedar Cottage,495091.8918,5456415.4424
Break and Enter Commercial,2024,1,4,2,30,18XX E HASTINGS ST,Grandview-Woodland,495217.4042,5458724.3988
Break and Enter Commercial,2024,1,9,9,43,18XX E PENDER ST,Grandview-Woodland,495189.5786,5458607.789
Break and Enter Commercial,2024,2,27,3,9,18XX SCOTIA ST,Mount Pleasant,492866.0485,5457229.3722
Break and Enter Commercial,2024,2,21,9,25,18XX SPYGLASS PL,Fairview,491609.8186,5457422.8141
Break and Enter Commercial,2024,1,27,17,0,18XX W 57TH AVE,Kerrisdale,489161.9589,5451859.0481
Break and Enter Commercial,2024,2,16,2,45,19XX PENDRELL ST,West End,489615.8139,5459633.029
Break and Enter Commercial,2024,1,16,12,58,19XX ROBSON ST,West End,490033.0291,5459988.8383
Break and Enter Commercial,2024,2,10,5,15,19XX ROBSON ST,West End,490033.0291,5459988.8383
Break and Enter Commercial,2024,2,13,3,30,19XX ROBSON ST,West End,490033.0291,5459988.8383
Break and Enter Commercial,2024,1,10,3,9,1X W BROADWAY AVE,Mount Pleasant,492340.0396,5456696.0797
Break and Enter Commercial,2024,2,12,10,36,1X W CORDOVA ST,Central Business District,492387.9842,5458871.6596
Break and Enter Commercial,2024,3,25,5,30,1XX E 5TH AVE,Mount Pleasant,492533.0957,5457078.055
Break and Enter Commercial,2024,3,31,19,17,1XX E CORDOVA ST,Central Business District,492623.6791,5458842.0365
Break and Enter Commercial,2024,2,12,13,45,1XX E PENDER ST,Central Business District,492571.6465,5458632.2455
Break and Enter Commercial,2024,2,3,3,48,1XX E WOODSTOCK AVE,Riley Park,492590.051,5453424.3358
Break and Enter Commercial,2024,2,25,12,40,1XX KEEFER ST,Central Business District,492725.4136,5458526.1607
Break and Enter Commercial,2024,2,27,8,51,1XX KEEFER ST,Central Business District,492725.4136,5458526.1607
Break and Enter Commercial,2024,3,1,8,10,1XX KEEFER ST,Central Business District,492725.7131,5458535.2998
Break and Enter Commercial,2024,2,1,17,0,1XX MILROSS AVE,Central Business District,492615.6419,5458155.4826
Break and Enter Commercial,2024,1,12,8,0,1XX POWELL ST,Central Business District,492669.258,5458949.7229
Break and Enter Commercial,2024,2,23,11,15,1XX W 49TH AVE,Oakridge,492102.3675,5452559.9667
Break and Enter Commercial,2024,3,6,1,1,1XX W GEORGIA ST,Central Business District,491874.5614,5458414.2252
Break and Enter Commercial,2024,1,11,3,8,1XX W HASTINGS ST,Central Business District,492182.5636,5458822.087
Break and Enter Commercial,2024,3,17,10,35,1XX WATER ST,Central Business District,492211.9962,5459038.78
Break and Enter Commercial,2024,2,26,1,39,20XX BARCLAY ST,West End,489767.797,5459934.0861
Break and Enter Commercial,2024,1,27,21,20,20XX E HASTINGS ST,Grandview-Woodland,495446.7882,5458720.7408
Break and Enter Commercial,2024,1,1,5,15,20XX KINGSWAY AVE,Kensington-Cedar Cottage,495334.8648,5454660.7167
Break and Enter Commercial,2024,3,1,22,23,20XX KINGSWAY AVE,Kensington-Cedar Cottage,495334.8648,5454660.7167
Break and Enter Commercial,2024,1,29,8,17,21XX COMMERCIAL DR,Grandview-Woodland,494931.2357,5456957.6901
Break and Enter Commercial,2024,2,15,9,13,21XX FRANKLIN ST,Grandview-Woodland,495546.6705,5458822.7493
Break and Enter Commercial,2024,3,7,22,11,21XX W 4TH AVE,Kitsilano,488880.804,5457277.688
Break and Enter Commercial,2024,3,13,17,0,22XX PRINCE EDWARD ST,Mount Pleasant,493027.7398,5456929.7592
Break and Enter Commercial,2024,3,3,4,45,22XX W BROADWAY AVE,Kitsilano,488646.899,5456797.1597
Break and Enter Commercial,2024,3,30,0,40,23XX CAMBIE ST,Fairview,491638.1824,5456894.1873
Break and Enter Commercial,2024,2,22,5,30,23XX E 40TH AVE,Renfrew-Collingwood,495832.5566,5453460.588
Break and Enter Commercial,2024,1,9,15,58,24XX BALACLAVA ST,Kitsilano,487346.8403,5456879.3183
Break and Enter Commercial,2024,1,11,14,30,24XX BALACLAVA ST,Kitsilano,487346.8403,5456879.3183
Break and Enter Commercial,2024,1,26,2,40,24XX E HASTINGS ST,Hastings-Sunrise,495891.8376,5458718.8358
Break and Enter Commercial,2024,4,5,14,28,24XX GRANT ST,Hastings-Sunrise,495895.7434,5457620.1199
Break and Enter Commercial,2024,1,19,4,15,24XX KAMLOOPS ST,Hastings-Sunrise,496014.6473,5456684.7339
Break and Enter Commercial,2024,2,4,16,5,24XX MAIN ST,Mount Pleasant,492644.7087,5456748.8304
Break and Enter Commercial,2024,3,5,3,25,24XX MAIN ST,Mount Pleasant,492645.0897,5456771.2598
Break and Enter Commercial,2024,2,16,15,30,24XX STEPHENS ST,Kitsilano,487892.0959,5456833.4895
Break and Enter Commercial,2024,1,11,7,58,24XX VICTORIA DR,Grandview-Woodland,495210.7353,5456712.0184
Break and Enter Commercial,2024,2,25,19,0,24XX W 41ST AVE,Arbutus Ridge,488208.2609,5453561.885
Break and Enter Commercial,2024,3,28,8,51,25XX BIRCH ST,Fairview,490274.6189,5456717.2631
Break and Enter Commercial,2024,1,7,1,0,25XX CARNARVON ST,Kitsilano,487476.7036,5456809.6436
Break and Enter Commercial,2024,1,7,22,1,25XX CARNARVON ST,Kitsilano,487476.7036,5456809.6436
Break and Enter Commercial,2024,1,30,3,30,25XX CARNARVON ST,Kitsilano,487476.7036,5456809.6436
Break and Enter Commercial,2024,4,9,12,47,25XX COMMERCIAL DR,Kensington-Cedar Cottage,494925.377,5456547.9172
Break and Enter Commercial,2024,1,1,2,50,25XX E HASTINGS ST,Hastings-Sunrise,496192.3539,5458708.8997
Break and Enter Commercial,2024,1,30,7,14,25XX GARDEN DR,Kensington-Cedar Cottage,495772.0035,5456555.8494
Break and Enter Commercial,2024,2,16,4,0,25XX KINGSWAY AVE,Renfrew-Collingwood,496101.3389,5454107.1089
Break and Enter Commercial,2024,2,27,3,8,26XX CAMBIE ST,Fairview,491629.6949,5456595.2671
Break and Enter Commercial,2024,3,14,10,33,26XX GRANVILLE ST,Fairview,489923.0584,5456593.429
Break and Enter Commercial,2024,1,4,3,34,26XX KINGSWAY AVE,Renfrew-Collingwood,496292.5552,5453982.5976
Break and Enter Commercial,2024,1,12,10,32,27XX E 28TH AVE,Renfrew-Collingwood,496540.73,5454744.381
Break and Enter Commercial,2024,2,4,23,0,27XX GRANVILLE ST,Fairview,489917.4967,5456506.8767
Break and Enter Commercial,2024,2,8,2,8,27XX KINGSWAY AVE,Renfrew-Collingwood,496377.6269,5453921.7709
Break and Enter Commercial,2024,2,6,1,17,27XX MAIN ST,Mount Pleasant,492657.7855,5456467.176
Break and Enter Commercial,2024,1,21,1,33,27XX RUPERT ST,Renfrew-Collingwood,497553.3771,5456341.8502
Break and Enter Commercial,2024,1,9,0,30,28XX E 1ST AVE,Hastings-Sunrise,496590.7519,5457399.7562
Break and Enter Commercial,2024,3,24,4,50,28XX E 1ST AVE,Hastings-Sunrise,496590.7519,5457399.7562
Break and Enter Commercial,2024,3,21,2,40,28XX E 22ND AVE,Renfrew-Collingwood,496759.9341,5455328.0941
Break and Enter Commercial,2024,1,31,23,51,28XX E BROADWAY AVE,Hastings-Sunrise,496750.4551,5456582.2825
Break and Enter Commercial,2024,2,2,2,53,28XX E BROADWAY AVE,Hastings-Sunrise,496750.4551,5456582.2825
Break and Enter Commercial,2024,1,27,13,33,28XX E HASTINGS ST,Hastings-Sunrise,496663.4687,5458707.6353
Break and Enter Commercial,2024,1,8,17,30,28XX YEW ST,Kitsilano,488695.1512,5456455.3258
Break and Enter Commercial,2024,1,16,0,0,29XX E 29TH AVE,Renfrew-Collingwood,496863.61,5454639.362
Break and Enter Commercial,2024,2,6,15,19,29XX E 4TH AVE,Hastings-Sunrise,496824.4067,5457096.6518
Break and Enter Commercial,2024,3,2,3,50,29XX E HASTINGS ST,Hastings-Sunrise,496808.7101,5458716.797
Break and Enter Commercial,2024,2,17,0,0,29XX FIR ST,Fairview,489721.0046,5456287.8856
Break and Enter Commercial,2024,3,12,4,40,29XX FIR ST,Fairview,489721.0046,5456287.8856
Break and Enter Commercial,2024,4,3,3,12,29XX RUPERT ST,Renfrew-Collingwood,497531.8414,5456110.1924
Break and Enter Commercial,2024,3,9,6,55,29XX W BROADWAY AVE,Kitsilano,487566.9746,5456826.5458
Break and Enter Commercial,2024,2,25,5,5,2XX ABBOTT ST,Central Business District,492254.3191,5458977.4064
Break and Enter Commercial,2024,2,19,5,9,2XX CARRALL ST,Central Business District,492414.8254,5458946.4314
Break and Enter Commercial,2024,2,8,0,5,2XX DAVIE ST,Central Business District,491137.7256,5457954.4461
Break and Enter Commercial,2024,1,27,22,10,2XX E 1ST AVE,Strathcona,492821.8053,5457383.9482
Break and Enter Commercial,2024,1,12,20,0,2XX E 20TH AVE,Riley Park,492674.0303,5455588.3673
Break and Enter Commercial,2024,1,17,3,50,2XX E 8TH AVE,Mount Pleasant,492792.0205,5456766.8334
Break and Enter Commercial,2024,1,31,2,42,2XX PRIOR ST,Strathcona,492824.1682,5458218.5574
Break and Enter Commercial,2024,3,10,5,13,2XX PRIOR ST,Strathcona,492824.1682,5458218.5574
Break and Enter Commercial,2024,1,28,3,0,2XX SW MARINE DR,Marpole,491807.726,5450961.0228
Break and Enter Commercial,2024,2,4,23,0,2XX W BROADWAY AVE,Mount Pleasant,491976.1295,5456718.2406
Break and Enter Commercial,2024,1,10,6,45,2XX W KING EDWARD AVE,Riley Park,491935.4929,5455119.8603
Break and Enter Commercial,2024,3,30,18,13,2XX W PENDER ST,Central Business District,491958.8371,5458790.5821
Break and Enter Commercial,2024,3,9,11,47,30XX MAIN ST,Mount Pleasant,492634.6151,5456143.5852
Break and Enter Commercial,2024,3,12,3,30,31XX KINGSWAY AVE,Renfrew-Collingwood,497166.6548,5453636.6767
Break and Enter Commercial,2024,3,11,2,29,32XX E 22ND AVE,Renfrew-Collingwood,497498.2754,5455311.2146
Break and Enter Commercial,2024,2,11,6,30,32XX KINGSWAY AVE,Renfrew-Collingwood,497277.3412,5453570.2792
Break and Enter Commercial,2024,1,28,3,40,32XX OAK ST,South Cambie,490747.4412,5456027.5449
Break and Enter Commercial,2024,2,13,0,49,33XX BRIDGEWAY,Hastings-Sunrise,497605.9206,5459548.3529
Break and Enter Commercial,2024,1,26,4,19,33XX KINGSWAY AVE,Renfrew-Collingwood,497533.3269,5453375.044
Break and Enter Commercial,2024,4,2,22,0,34XX CAMBIE ST,Riley Park,491623.5153,5455772.4891
Break and Enter Commercial,2024,1,9,8,41,34XX CROWLEY DR,Renfrew-Collingwood,497643.8055,5453839.9184
Break and Enter Commercial,2024,3,12,0,23,34XX E HASTINGS ST,Hastings-Sunrise,497843.5665,5458708.3582
Break and Enter Commercial,2024,1,28,0,0,34XX INVERNESS ST,Kensington-Cedar Cottage,494183.3057,5455647.8402
Break and Enter Commercial,2024,2,24,4,40,34XX KINGSWAY AVE,Killarney,497790.6052,5453240.7776
Break and Enter Commercial,2024,1,7,1,55,34XX SAWMILL CRES,Killarney,497671.276,5450348.8552
Break and Enter Commercial,2024,2,3,12,30,35XX CAMBIE ST,South Cambie,491610.9731,5455673.7654
Break and Enter Commercial,2024,3,15,3,17,35XX KINGSWAY AVE,Killarney,497901.6702,5453249.5619
Break and Enter Commercial,2024,3,7,10,13,35XX KINGSWAY AVE,Renfrew-Collingwood,497936.8519,5453261.4149
Break and Enter Commercial,2024,1,6,3,38,35XX KINGSWAY AVE,Killarney,497980.9958,5453255.1111
Break and Enter Commercial,2024,2,2,23,40,35XX KINGSWAY AVE,Killarney,497984.2441,5453255.304
Break and Enter Commercial,2024,2,6,2,42,35XX KINGSWAY AVE,Renfrew-Collingwood,498091.8167,5453270.9116
Break and Enter Commercial,2024,3,4,9,25,35XX LOUGHEED HWY,Hastings-Sunrise,497958.1595,5456782.3853
Break and Enter Commercial,2024,1,9,8,41,35XX VANNESS AVE,Renfrew-Collingwood,497912.8081,5453773.2657
Break and Enter Commercial,2024,3,15,3,0,36XX KINGSWAY AVE,Killarney,498084.8491,5453261.3155
Break and Enter Commercial,2024,4,1,5,15,36XX KINGSWAY AVE,Renfrew-Collingwood,498113.6807,5453272.2924
Break and Enter Commercial,2024,3,6,20,0,36XX LOUGHEED HWY,Hastings-Sunrise,498141.2992,5456933.7981
Break and Enter Commercial,2024,2,21,0,50,36XX MAIN ST,Riley Park,492650.0422,5455489.6332
Break and Enter Commercial,2024,3,22,13,25,37XX MAIN ST,Riley Park,492656.6916,5455389.4975
Break and Enter Commercial,2024,4,7,5,40,37XX RUPERT ST,Renfrew-Collingwood,497530.8893,5455376.5312
Break and Enter Commercial,2024,2,15,8,20,38XX RUPERT ST,Renfrew-Collingwood,497530.3736,5455229.6593
Break and Enter Commercial,2024,2,7,5,30,38XX W 4TH AVE,West Point Grey,486275.3178,5457343.1242
Break and Enter Commercial,2024,3,26,4,0,3X WATER ST,Central Business District,492360.0246,5458989.4837
Break and Enter Commercial,2024,1,16,5,23,3XX ABBOTT ST,Central Business District,492219.1855,5458881.348
Break and Enter Commercial,2024,3,14,8,2,3XX BURRARD ST,Central Business District,491516.6744,5459414.892
Break and Enter Commercial,2024,4,8,0,47,3XX E 10TH AVE,Mount Pleasant,492972.2143,5456575.2681
Break and Enter Commercial,2024,2,12,17,0,3XX E HASTINGS ST,Strathcona,492959.9658,5458727.3222
Break and Enter Commercial,2024,3,30,4,35,3XX E KENT AVE S,Sunset,492695.9792,5450484.7767
Break and Enter Commercial,2024,3,1,2,30,3XX RICHARDS ST,Central Business District,491865.6863,5459036.5544
Break and Enter Commercial,2024,3,10,6,36,3XX WATER ST,Central Business District,492015.3058,5459093.0601
Break and Enter Commercial,2024,3,3,5,45,3XX WATER ST,Central Business District,492065.7308,5459068.8366
Break and Enter Commercial,2024,3,4,4,34,40XX MAIN ST,Riley Park,492650.2292,5455172.0533
Break and Enter Commercial,2024,2,13,7,0,41XX GLADSTONE ST,Kensington-Cedar Cottage,495591.7122,5455036.8243
Break and Enter Commercial,2024,2,24,17,10,42XX LAUREL ST,South Cambie,490913.4234,5454983.2037
Break and Enter Commercial,2024,1,4,4,12,43XX W 10TH AVE,West Point Grey,485038.4298,5456804.9896
Break and Enter Commercial,2024,1,18,3,13,48XX ELDORADO MEWS,Renfrew-Collingwood,495809.2479,5454306.8533
Break and Enter Commercial,2024,4,10,8,23,49XX CAMBIE ST,Riley Park,491397.2334,5454213.2774
Break and Enter Commercial,2024,1,8,6,5,4X E HASTINGS ST,Central Business District,492474.4064,5458751.0085
Break and Enter Commercial,2024,2,19,21,50,4X W HASTINGS ST,Central Business District,492320.6682,5458782.6495
Break and Enter Commercial,2024,3,7,22,28,4XX BURRARD ST,Central Business District,491495.7649,5459381.6396
Break and Enter Commercial,2024,3,9,1,54,4XX E BROADWAY AVE,Mount Pleasant,493147.0532,5456638.5706
Break and Enter Commercial,2024,3,3,8,0,4XX E CORDOVA ST,Strathcona,493109.8673,5458826.7854
Break and Enter Commercial,2024,3,12,8,34,4XX E HASTINGS ST,Strathcona,493109.4794,5458722.8798
Break and Enter Commercial,2024,3,22,23,9,4XX GRANVILLE ST,Central Business District,491710.6789,5459176.0569
Break and Enter Commercial,2024,3,8,6,0,4XX KOOTENAY ST,Hastings-Sunrise,498133.6831,5458662.5015
Break and Enter Commercial,2024,3,26,13,51,4XX LAKEWOOD DR,Grandview-Woodland,495517.5213,5458691.1405
Break and Enter Commercial,2024,2,19,10,30,4XX MAIN ST,Strathcona,492754.1531,5458715.5736
Break and Enter Commercial,2024,2,8,1,15,4XX SEYMOUR ST,Central Business District,491759.3721,5459080.529
Break and Enter Commercial,2024,4,10,5,2,4XX SW MARINE DR,Marpole,491510.9528,5450862.7231
Break and Enter Commercial,2024,1,24,8,26,4XX SW MARINE DR,Marpole,491553.4416,5450890.0222
Break and Enter Commercial,2024,3,19,12,46,50XX CAMBIE ST,South Cambie,491472.9512,5454055.0267
Break and Enter Commercial,2024,2,3,18,13,50XX JOYCE ST,Renfrew-Collingwood,497714.1584,5454001.4149
Break and Enter Commercial,2024,4,9,22,23,50XX JOYCE ST,Renfrew-Collingwood,497714.1584,5454001.4149
Break and Enter Commercial,2024,2,19,7,0,50XX VICTORIA DR,Kensington-Cedar Cottage,495243.8476,5454001.5952
Break and Enter Commercial,2024,1,30,4,35,51XX JOYCE ST,Renfrew-Collingwood,497638.8033,5453882.9638
Break and Enter Commercial,2024,1,29,6,45,52XX JOYCE ST,Renfrew-Collingwood,497609.5247,5453818.2571
